id,question
77,"How might you communicate with someone who did not understand medical terminology?"
78,"How could you explain a complicated medical idea without sounding patronising?"
79,"What tends to make someone a good listener?"
80,"When might listening carefully achieve more than giving advice or explanations?"
81,"How might you respond to a patient who began crying during a consultation?"
82,"How might you communicate with someone whose first language was not English?"
83,"How might you adapt your communication for a child?"
84,"How would you adapt a consultation to an older patient's individual communication needs?"
85,"A patient comes away from a conversation with a different understanding from the one you intended. How would you find out what they understood and put the misunderstanding right?"
86,"How might you respond if a patient strongly disagreed with you?"
87,"How could body language influence a clinical consultation?"
88,"Which factors might prevent effective communication between a doctor and patient?"
89,"How could doctors build trust with patients?"
90,"What can damage trust between a doctor and a patient, and how might their relationship deteriorate?"
91,"What tends to make you an effective team member?"
92,"Describe a time when you contributed successfully to a team."
93,"Which qualities make someone a strong team leader?"
94,"Describe an occasion when you demonstrated leadership."
95,"Do you see yourself naturally as more of a leader or a team member?"
96,"What tends to make a team function effectively?"
97,"What do you see as the advantages of working in a team?"
98,"Which difficulties can arise when working as part of a team?"
99,"How might you manage disagreement within a team?"
100,"What would you do next if one team member was contributing much less than everyone else?"
101,"What would you do next if two members of your team strongly disagreed with one another?"
102,"How might you respond if the team rejected your idea?"
103,"How might you manage a team member who dominated every discussion?"
104,"How might you encourage a quieter member of a group to contribute?"
105,"Someone speaks frequently in a group but rarely helps others contribute. What else would you look for before calling them a good leader?"
106,"To what extent can leadership involve stepping back rather than taking control?"
107,"How might you lead a team under significant time pressure?"
108,"Describe a time when your team did not perform as well as you hoped."
109,"What lessons did you take from working with someone whose personality was very different from yours?"
110,"Why does effective teamwork matter in healthcare?"
111,"How would you organise your time when you have several competing priorities?"
112,"How might you describe your organisational skills?"
113,"Which activities or hobbies do you enjoy outside your studies?"
114,"Describe a meaningful non-academic project you have taken part in."
115,"How would you normally respond to stress?"
116,"Which lessons have your hobbies or interests taught you that could be useful in medicine?"
117,"What do you consider your main strengths?"
118,"What personal qualities would help you become a good doctor?"
119,"What do you feel you would bring to our medical school?"
120,"What three words would you use to describe yourself?"
121,"How do you think your friends would describe you?"
122,"Which values would you want people to associate with you?"
123,"What parts of your personality are well suited to medicine?"
124,"Which skills have you gained through employment or volunteering that would transfer to medicine?"
125,"Do you tend to work better independently or as part of a group?"
126,"What is one area of yourself that you are currently trying to improve?"
127,"If you could improve two personal qualities, what would they be and why?"
128,"Who has had the greatest influence on the person you are today?"
129,"Which qualities make someone an effective teacher?"
130,"Describe a teacher or mentor who had an impact on you."
131,"Describe an important decision you have had to make."
132,"Which achievement are you most proud of?"
133,"How would you respond when somebody criticises your work?"
134,"How would you deal with conflict?"
135,"Briefly describe a situation in which you changed your opinion after hearing another perspective."
136,"Describe a mistake you made and what you learned from it."
137,"Describe a book, film, podcast or article that made you think differently."
138,"What evidence from your experience suggests you can sustain your effort and wellbeing through a long medical training programme?"
139,"Which situations tend to frustrate or anger you?"
140,"How would you recognise when you are becoming overwhelmed?"
141,"What would you do next if you were struggling academically or emotionally at medical school?"
142,"How might you support a friend who appeared to be struggling?"
143,"How would you explain what resilience means to you?"
144,"How does asking for support fit with your understanding of resilience? Discuss whether coping independently is always the best response to pressure."
145,"How would you maintain a healthy balance between achievement and wellbeing?"
146,"What do you understand so far about how the NHS is structured?"
147,"In what ways does primary care differ from secondary and tertiary care?"
148,"Which role does a GP play within the NHS?"
149,"How would you define the role of NHS England?"
150,"How would you define an Integrated Care System?"
151,"Which challenges currently face the NHS?"
152,"How could the NHS decide which services to prioritise?"
153,"How could healthcare be funded?"
154,"To what extent should private healthcare operate alongside a publicly funded NHS?"
155,"What do you see as the potential advantages of having both public and private healthcare?"
156,"Which problems could arise from a mixed public-private healthcare system?"
157,"How would you explain what the term health inequality means to you?"
158,"Why do you think life expectancy and health outcomes can differ between different areas and communities?"
159,"Which factors other than healthcare influence a person's health?"
160,"What do you see as the social determinants of health?"
161,"What practical steps could doctors take to reduce health inequalities?"
162,"How could the NHS respond when demand for care is greater than the resources available?"
163,"Which factors should be considered when deciding whether the NHS should fund a treatment?"
164,"How should the NHS approach funding a procedure that some people describe as non-essential? Explain what you would want to understand before reaching a view."
165,"How could waiting lists be prioritised?"
166,"Imagine an NHS funding decision where one option would reach more patients than another. Is the number of people treated enough to decide which option is fairest?"
167,"To what extent should patients ever be expected to contribute financially towards their healthcare?"
168,"What do you see as the arguments for and against charging for some NHS services?"
169,"How would you explain what clinical governance means?"
170,"Why do you think clinical audit is important?"
171,"How would you define revalidation and why does it matter?"
172,"How would you define informed consent?"
173,"How would you explain what patient capacity means?"
174,"Why do you think confidentiality is central to healthcare?"
175,"In what situations might confidentiality need to be breached?"
176,"What do you see as the four main principles of medical ethics?"
177,"How would you explain what autonomy means in healthcare?"
178,"How would you explain what beneficence means?"
179,"How would you define non-maleficence?"
180,"How would you explain what justice means in medical decision-making?"
181,"Describe how two of the four ethical principles could pull a clinical decision in different directions. How would you examine that tension?"
182,"You have considered the available options in an ethical dilemma, but each has a significant drawback. How would you decide what to do and justify your choice?"
183,"An adult with capacity refuses life-saving treatment. How should a doctor respond to that decision?"
184,"In what situations can a doctor act against a patient's wishes?"
185,"How could doctors approach decisions involving patients who lack capacity?"
186,"A patient's relatives want to decide which care the patient receives. What would you need to establish before deciding whether they should make that decision?"
187,"How could doctors balance individual autonomy against public safety?"
188,"To what extent is it ever ethically acceptable for a doctor to withhold information from a patient?"
189,"To what extent is lying to a patient ever justified?"
190,"In what situations might confidentiality need to be overridden?"
191,"A patient's lifestyle may have contributed to their illness. Discuss whether this should change the doctor's duty of care towards them."
192,"To what extent should lifestyle choices affect access to NHS treatment?"
193,"When deciding who receives treatment, should smoking history count against a patient? Explain how you would compare access for smokers and non-smokers."
194,"Discuss how transplant services should consider patients with alcohol dependence. How would you assess whether their access is fair compared with other patients?"
195,"How would you explain what fairness means when healthcare resources are limited?"
196,"To what extent is equality always the same as fairness?"
197,"To what extent should younger patients ever be prioritised over older patients?"
198,"To what extent should quality of life influence healthcare allocation decisions?"
199,"An expensive treatment is being considered for NHS funding. Whose judgement should determine whether it offers good value, and why?"
200,"A healthcare budget could fund costly care for one person or help a larger number of people. Explain how you would weigh the ethical arguments for each use of the money."
201,"An adult who has capacity declines a blood transfusion on religious grounds. They understand that they could die without it. Talk through how you would respond to their decision."
202,"An unconscious patient urgently needs a transfusion. Their records suggest they may reject blood products on religious grounds. What would you clarify before acting?"
203,"Parents oppose a potentially life-saving blood transfusion for their child because of their beliefs. Explain the team's priorities in addressing this disagreement."
204,"Two people awaiting transplantation have comparable clinical need, and a donor organ is available for only one of them. What would a fair allocation process need to consider?"
205,"A patient wants surgery despite a very low chance of success because of their current health. How would you discuss the disagreement with them?"
206,"A new treatment could greatly improve one patient's life but use funds that could treat many others. How would you weigh this funding decision?"
207,"A young teenager comes to the service seeking advice about ending a pregnancy. Talk through the communication, ethical and legal questions that would guide your response."
208,"The spouse of a patient with serious heart disease asks you to convince their partner to take medication. The patient understands that refusing it could shorten their life and still declines. How would you respond to both people?"
209,"A patient shows you an alternative treatment they found online. How would you explore their interest and discuss whether to try it?"
210,"A patient would like an HIV test. Talk through the issues you would address when discussing the test, arranging it and following up the result."
211,"Someone you are caring for has HIV and tells you they will not disclose this to their sexual partner. What would guide your next steps and your discussion with the patient?"
212,"Which ethical issues surround the use of animals in medical research?"
213,"A family hopes that having another child could help provide treatment for a child they already have. Discuss the ethical considerations for the family and for each child."
214,"A senior doctor is about to see patients, but you suspect they have been drinking alcohol. Talk through how you would handle your concern."
215,"A colleague wants you to write them a prescription outside the usual consultation process. How would you handle the request and explain your response?"
216,"You discover a colleague using a workplace computer to access material that is illegal or seriously inappropriate. Talk through how you would decide what action to take."
217,"Under which circumstances, if any, might withholding the full truth be ethically defensible?"
218,"A colleague tells you about a mistake they have made and asks you to keep it to yourself. What would you say to them, and what would you do next?"
219,"You recognise that something you did in a patient's care was a mistake. Explain your immediate priorities and how you would follow the matter through."
220,"To what extent should doctors always admit mistakes to patients?"
221,"How would you define the duty of candour?"
222,"After receiving treatment, a patient offers you a gift of substantial value. Explain how you would decide whether to accept it and what you would say to the patient."
223,"Compare being offered an expensive patient gift with being given a small box of chocolates or a thank-you card. Would the value or nature of the gift change your response?"
224,"To what extent should pharmaceutical companies be allowed to sponsor medical education?"
225,"Which problems can arise when doctors or researchers have financial conflicts of interest?"
226,"You do not think antibiotics are needed, but the patient asks you to prescribe them. Talk through how you would discuss their request and reach a plan."
227,"A patient is pressing for a scan that you do not believe is clinically indicated. Explain how you would explore their concerns and respond to the request."
228,"A relative presses you for details of a patient's care. The patient has expressly refused permission to share them. How would you respond?"
229,"A student posts about a memorable patient encounter on social media without naming the patient. How would you assess whether the post is appropriate?"
230,"A doctor uses their professional identity while sharing a controversial political view publicly. Discuss the professional considerations raised by doing so."
231,"How could doctors improve health without directly treating illness?"
232,"How does politics influence healthcare?"
233,"To what extent should healthcare decisions ever be separated entirely from politics?"
234,"How could society decide how much money to spend on healthcare?"
235,"Which factors shape the way doctors are portrayed by the media?"
236,"Can media coverage affect public trust in doctors?"
237,"Which factors cause health inequalities?"
238,"Should people pay a greater share of the costs associated with their own health? Discuss how you would set limits on personal financial responsibility."
239,"What would you say are complementary and alternative therapies?"
240,"The evidence supporting a complementary therapy is limited. How would you assess whether the NHS should pay for patients to receive it?"
241,"How could evidence be used when deciding whether a treatment should be offered?"
242,"You are researching a topic you know little about and encounter several sources. How would you decide which information deserves your trust?"
243,"How could you identify gaps in your own knowledge?"
244,"To what extent is medicine primarily a science, an art, or a combination of both?"
245,"Which approaches could increase the supply of organs for transplantation?"
246,"How could society encourage organ donation while respecting individual choice?"
247,"Discuss how views about doctors' clothing and appearance have developed over time. What might explain changes in expectations of professional dress?"
248,"Which factors influence differences in life expectancy across the UK?"
249,"Why do you think doctors can rarely guarantee that a treatment will be successful?"
250,"Consider the route through medical training for someone with a significant disability. Where might they encounter barriers, and why?"
251,"How could medical schools support students with disabilities?"
252,"Which role should charities play in healthcare?"
253,"Imagine that essential local health services depend heavily on charitable support. What difficulties could that dependence create?"
254,"What do you see as the benefits of openly acknowledging mistakes?"
255,"Which disadvantages or difficulties can arise from admitting mistakes?"
256,"To what extent is it appropriate for healthcare professionals to accept gifts from patients?"
257,"Consider a high-risk sport such as boxing. What part, if any, should doctors play in setting or enforcing the rules around participation?"
258,"To what extent should doctors be expected to set an example through their own lifestyle?"
259,"Why does representation within the medical workforce matter? Discuss the value of diversity in a profession that has not always offered equal representation."
260,"A service is considering giving nurses and other healthcare professionals a wider range of responsibilities. What benefits and difficulties would you want it to examine?"
261,"How could medical training adapt as technology and healthcare become more complex?"
262,"How could doctors maintain motivation throughout a long career?"
263,"Design one question you would use to interview a medical-school applicant. Explain what you would hope to learn from their answer."
264,"To what extent should doctors ever strike?"
265,"Doctors have obligations to their patients as well as employment rights. How would you approach a situation in which these pull in different directions?"
266,"When saving life and improving quality of life lead to different healthcare priorities, how should the competing goals be weighed?"
267,"Consider a proposal to move part of the NHS treatment budget into prevention. What would determine whether that change was justified?"
268,"How should society decide what it can spend on treatments that extend life? Discuss whether any spending limit can be justified."
269,"A patient's preferred option may compete with the wider population's healthcare needs. How should the NHS weigh individual choice against those needs?"
270,"To what extent should healthcare be treated as a right?"
271,"Why do you think medical research is important?"
272,"You can establish a new medical research institute with substantial funding. Set out the research area you would focus on and explain why it deserves that investment."
273,"Choose a medical discovery from approximately the past hundred years that you consider especially influential. Make the case for its impact compared with other discoveries."
274,"Which area of medical research interests you most?"
275,"Select a public-health advance from the modern era that you regard as particularly important. Explain what makes its contribution stand out."
276,"How would you define evidence-based medicine?"
277,"Why do you think randomised controlled trials are useful?"
278,"What do you see as some limitations of clinical trials?"
279,"Why do you think correlation does not necessarily mean causation?"
280,"Why do you think peer review is important?"
281,"How might you decide whether a health claim you saw on social media was trustworthy?"
282,"Why do you think two scientific studies might reach different conclusions?"
283,"How would you define the purpose of medical research ethics?"
284,"Why do you think informed consent is important in research?"
285,"To what extent is it acceptable to conduct research involving patients who lack capacity?"
286,"Which ethical issues arise when testing new treatments?"
287,"Why do you think representation of different populations is important in clinical research?"
288,"How would you explain the difference between statistical significance and clinical significance?"
289,"Why do you think treatments sometimes appear promising in early research but fail later?"
290,"How could doctors communicate uncertainty in scientific evidence to patients?"
291,"Consider weight-management injections such as semaglutide and tirzepatide. How would you weigh the opportunities they offer against the challenges of using them in healthcare?"
292,"To what extent should medications for obesity be widely available through the NHS?"
293,"If NHS access to expensive weight-management medicines is limited, what should determine which patients are offered them first?"
294,"Discuss how individual choices, medical factors and wider social conditions contribute to obesity. How should these perspectives shape where responsibility is placed?"
295,"Imagine weight-loss medication becoming widely used. What effects might this have on public attitudes towards obesity?"
296,"Compare the ethical considerations involved when prescription weight-loss medicines are obtained privately rather than through public healthcare. Which concerns would you examine?"
297,"A patient asks for a prescription weight-loss medicine chiefly to change their appearance. How would you explore the request and discuss your response?"
298,"Which responsibilities do social-media influencers have when discussing prescription medicines?"
299,"What would determine whether spending on weight-loss medication leads to lower NHS costs over the longer term?"
300,"A medicine attracts intense publicity and demand, while public understanding of its benefits and side effects remains limited. What problems could follow from this mismatch?"
301,"What do you see as the most important lessons healthcare systems should learn from the COVID-19 pandemic?"
302,"How could the UK prepare for a future pandemic?"
303,"During a period without a major outbreak, a government must decide how much to invest in pandemic preparedness. How would you assess the case for substantial ongoing funding?"
304,"Which ethical issues arise when governments restrict individual freedoms during a public-health emergency?"
305,"How could healthcare systems prioritise patients when resources become extremely limited?"
306,"In what ways did COVID-19 affect trust in healthcare and science?"
307,"Why do you think misinformation became such a major challenge during the pandemic?"
308,"How could doctors respond to vaccine misinformation?"
309,"Which challenges does long COVID create for patients and healthcare systems?"
310,"Patients with long COVID may describe different combinations of complex symptoms. How would you approach care when experiences vary substantially from one person to another?"
311,"Compare a COVID vaccination programme focused on people at greatest risk with one routinely offered to everyone. What should determine the choice between these approaches?"
312,"A public-health emergency is developing and the evidence keeps changing. How could a government explain what remains uncertain while maintaining public trust?"
313,"Which opportunities could artificial intelligence create in medicine?"
314,"Which risks could arise from using AI to support diagnosis?"
315,"An AI system recommends a clinical course of action. How much weight should a doctor give that recommendation when making their decision?"
316,"A patient is harmed by a medical decision in which an AI system played a part. How would you think through who should be held responsible?"
317,"Could AI take over the role of a doctor? Discuss which parts of the role might be replaceable and where the limits could lie."
318,"What aspects of medicine are least likely to be replaced by artificial intelligence?"
319,"Where might AI help people access healthcare sooner, and how could it affect waiting times?"
320,"How might introducing AI into healthcare widen health inequalities that already exist?"
321,"Which risks arise from bias in healthcare algorithms?"
322,"How could patient data be protected when it is used to train medical AI systems?"
323,"Discuss what patients should be told when AI helps shape their diagnosis or treatment. Should disclosure be required in every case?"
324,"If AI reduces the time doctors spend on administration, how might that affect their communication with patients?"
325,"Consider a clinical team that becomes heavily dependent on AI tools. What effects could that reliance have on doctors' own clinical skills?"
326,"How could medical education change because of artificial intelligence?"
327,"Why do waiting times matter for patients and for healthcare services?"
328,"How could patients on a waiting list be prioritised?"
329,"When deciding the order in which patients on a waiting list are seen, should clinical urgency outweigh every other consideration? Explain your reasoning."
330,"What steps could the NHS take to reduce waiting times without compromising quality?"
331,"An NHS patient cannot be treated within an acceptable timeframe. Discuss whether arranging their treatment in the private sector is an appropriate response."
332,"In what ways could technology meaningfully reduce NHS waiting lists?"
333,"Which role should prevention play in reducing long-term pressure on NHS services?"
334,"How could the NHS balance increasing demand against limited staff and funding?"
335,"What do you see as the potential benefits of introducing new professional roles into healthcare teams?"
336,"Which concerns can arise when the responsibilities of different healthcare professionals overlap?"
337,"Why do you think clarity about professional roles is important for patient safety?"
338,"How should patients be told whether they are seeing a doctor, physician associate or another professional? Should this always be made explicit?"
339,"How would you describe good supervision within a healthcare team?"
340,"You are concerned that a healthcare professional is taking on work beyond their competence. How should a doctor address the concern?"
341,"How could multidisciplinary teams expand access to healthcare while maintaining patient safety?"
342,"Why do you think vaccine-preventable diseases sometimes return even when effective vaccines are available?"
343,"Which factors contribute to vaccine hesitancy?"
344,"How could a doctor speak with a parent who is worried about vaccinating their child?"
345,"To what extent should vaccination ever be compulsory?"
346,"How could public-health authorities respond to falling vaccination uptake?"
347,"Which responsibilities do social-media platforms have regarding medical misinformation?"
348,"Why do you think false health information can spread more quickly than accurate information?"
349,"How could doctors challenge misinformation without damaging trust?"
350,"An influencer or celebrity spreads an inaccurate medical claim. When should a healthcare professional challenge it publicly, and what should guide their approach?"
351,"Why do you think antimicrobial resistance is a major healthcare concern?"
352,"Explain the link between unnecessary antibiotic prescribing and antimicrobial resistance."
353,"You think a patient's illness is probably caused by a virus, but they are insistent that they need antibiotics. How would you handle the consultation?"
354,"A doctor considers prescribing antibiotics mainly to avoid upsetting a patient. How would you assess the justification for that decision?"
355,"Which responsibilities do patients have in reducing antimicrobial resistance?"
356,"Why do you think antimicrobial resistance requires international cooperation?"
357,"Consider a proposal to give pharmaceutical companies stronger incentives to develop new antibiotics. What would guide your view on whether the proposal is justified?"
358,"How might agriculture and animal health contribute to antimicrobial resistance?"
359,"To what extent should governments restrict vaping more heavily?"
360,"Vaping policy must consider both its possible use in helping people stop smoking and concerns about young people taking it up. How would you weigh those two considerations?"
361,"To what extent should flavoured vaping products be restricted?"
362,"To what extent should governments prevent young people from starting to smoke?"
363,"In what situations does public-health intervention become excessive interference with personal choice?"
364,"To what extent should products that damage health be taxed more heavily?"
365,"How could doctors approach conversations about vaping with teenagers?"
366,"Why do you think mental health has become an increasingly important part of healthcare?"
367,"To what extent should mental and physical illness receive equal priority within the NHS?"
368,"Which barriers prevent people from seeking mental-health support?"
369,"What makes mental-health difficulties during childhood and adolescence an important healthcare concern?"
370,"How could medical schools better protect students' mental health?"
371,"How could doctors balance their own wellbeing with their professional responsibilities?"
372,"Encouraging resilience is often intended to support people. How could that message nevertheless make someone less willing to seek help?"
373,"Which steps could be taken to reduce stigma surrounding mental illness?"
374,"How might genomic medicine change healthcare?"
375,"Which benefits could whole-genome sequencing offer patients?"
376,"Which ethical concerns arise when sequencing a person's genome?"
377,"Who do you think should have access to someone's genetic information?"
378,"A newborn screening programme could check for many genetic conditions. What should parents consider before deciding whether to take part?"
379,"Genomic testing identifies a serious condition that cannot currently be treated. How should that finding be handled with the person tested?"
380,"A genetic test result may matter to a patient's relatives as well as the patient. How would you approach the question of sharing that information?"
381,"If personalised treatments are costly, what might determine who can benefit from them, and how could this affect health inequalities?"
382,"Neighbouring communities can have markedly different health outcomes. Which local circumstances would you explore to understand that difference?"
383,"When allocating NHS resources, how much weight should be given to the disadvantage experienced by a community?"
384,"How would you explain the difference between equality and equity in healthcare?"
385,"How could poverty influence health?"
386,"How could housing influence health?"
387,"How could education affect health outcomes?"
388,"What practical steps can doctors take when a patient's health is affected by social circumstances beyond the consultation?"
389,"In what ways could digital healthcare unintentionally exclude some patients?"
390,"How would you explain the difference between assisted dying, assisted suicide and euthanasia?"
391,"Which arguments are commonly made in favour of assisted dying?"
392,"What objections are raised to assisted dying, and how would you assess them?"
393,"How could legalised assisted dying affect the doctor-patient relationship?"
394,"If assisted dying were permitted, what safeguards would you consider for people who might face pressure or coercion?"
395,"If assisted dying were legally available, how should the wishes of patients be balanced with doctors' objections to participating?"
396,"How does access to good palliative care shape the arguments about assisted dying?"
397,"In a discussion of assisted dying, how would you weigh personal autonomy alongside the duty to preserve life?"
398,"How can climate change affect human health?"
399,"What responsibility should the NHS take for its environmental impact?"
400,"To what extent should environmental sustainability influence clinical decision-making?"
401,"A hospital wants to cut waste. How would you evaluate changes while protecting infection control and patient safety?"
402,"To what extent is climate change legitimately a medical issue?"
403,"Which benefits could digital healthcare bring?"
404,"What do you see as the disadvantages of relying more heavily on remote consultations?"
405,"Which groups of patients might be disadvantaged by digital-first healthcare?"
406,"Who do you think should own or control medical data?"
407,"Researchers seek access to anonymised NHS patient records without asking each person for consent. What should govern that decision?"
408,"How could the NHS balance medical innovation with privacy?"
409,"What concerns would you examine before allowing a commercial organisation to use health data?"
410,"In what ways could wearable devices and health apps improve preventive medicine?"
411,"Which factors cause obesity at a population level?"
412,"How could society respond to increasing obesity rates?"
413,"To what extent should governments regulate unhealthy food more strongly?"
414,"To what extent should sugary foods and drinks be taxed?"
415,"What would you consider when deciding whether to limit advertising of unhealthy foods aimed at children?"
416,"To what extent should individuals take greater responsibility for lifestyle-related illness?"
417,"Which role should doctors play in tackling obesity?"
418,"What do you see as the arguments for and against decriminalising currently illegal drugs?"
419,"What might change if drug policy focused primarily on health needs rather than criminal penalties? How would you judge the results?"
420,"Which role should harm-reduction programmes play in drug policy?"
421,"To what extent should governments regulate alcohol more heavily?"
422,"How could doctors approach addiction?"
423,"To what extent is addiction a disease?"
424,"How could socioeconomic disadvantage contribute to addiction?"
425,"Which role does education play in improving population health?"
426,"A public-health campaign proposes using frightening messages to change behaviour. How would you assess that approach?"
427,"How could public-health authorities communicate risk?"
428,"Which lessons can healthcare learn from successful public-health interventions of the past?"
429,"You have noticed a medical student missing classes and avoiding social contact. How would you check in with them and decide whether further help is needed?"
430,"A friend wants to withdraw from university but fears their family's reaction. How would you help them think through the conversation?"
431,"Your team keeps having to cover for a colleague who arrives late. How would you address the pattern with them?"
432,"You see one student copying another's work. Talk through how you would handle what you have observed."
433,"A friend wants your answers to an assignment that will be marked. How would you respond to the request?"
434,"Another student makes a disrespectful remark about a patient within your hearing. How would you address it?"
435,"During a conversation, a patient starts shouting insults at you. How would you respond while keeping everyone safe?"
436,"After a long wait, a patient's relative angrily asks you why nothing is happening. How would you begin that conversation?"
437,"You are already behind schedule when you meet a patient who is anxious and needs more time. How would you balance those demands?"
438,"Several urgent requests arrive together. Explain how you would decide what needs your attention first."
439,"You suspect an important instruction has been misunderstood by another healthcare professional. How would you check and resolve this?"
440,"A senior member of staff asks you to take an action that you think could put a patient at risk. What would you say and do?"
441,"An unattended computer is displaying confidential patient details. How would you deal with the immediate issue and any further concerns?"
442,"You discover that you have sent information to an unintended recipient. How would you respond to the mistake?"
443,"A patient asks something you cannot answer confidently. How would you respond without misleading them?"
444,"A patient would like your personal mobile number for future questions. How would you respond and discuss ways to obtain help?"
445,"A colleague's public social-media post about work strikes you as unprofessional. How would you decide what action to take?"
446,"Just before an important team task, you notice that a colleague is distressed. How would you check what support they need?"
447,"A colleague says they are coping, although you have noticed signs that make you worry about burnout. How would you approach the conversation?"
448,"A staff member is targeted by a discriminatory remark from a patient. What response would you expect from the rest of the team?"
449,"A healthcare budget can fund either substantial relief from chronic pain for a large group or life-saving procedures for a smaller, critically ill group. How would you weigh the options?"
450,"One donated organ could help either of two patients who need it. What would a fair process for deciding between them involve?"
451,"The NHS is considering a costly cancer medicine that offers a few extra months of life. What should be weighed when deciding whether to fund it?"
452,"Only a small group of patients benefits from a treatment, but the benefit for that group is large. How would you approach a funding decision?"
453,"How would you assess funding for a rare-disease treatment whose cost per patient is very high?"
454,"To what extent is it fair to use age when deciding how to allocate limited healthcare resources?"
455,"A service must balance long waits against the greater clinical needs of newly referred patients. How should it set priorities?"
456,"A prevention programme may take decades to show its full benefit. How would you judge its claim on funding needed for care today?"
457,"With limited healthcare resources, how would you weigh improving quality of life against extending life?"
458,"How should clinicians, elected representatives, economists, patients and independent bodies contribute to NHS funding decisions, and who should be accountable for the final choice?"
459,"How would you explain what professionalism means to you?"
460,"To what extent should doctors be held to higher standards of behaviour than members of the general public?"
461,"Can a doctor's behaviour outside work matter professionally?"
462,"How could doctors use social media?"
463,"A doctor wants to discuss a patient online after removing identifying details. What should they consider before posting?"
464,"Why do you think professional boundaries are important?"
465,"To what extent can a doctor become friends with a patient?"
466,"A patient sends their doctor a social-media friend request. How should the doctor decide how to respond?"
